Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,CARERATING,558.9,562.15,-0.0058,0.0247,0.0247,0.4719
10-Feb-22,CARTRADE,666.45,686,-0.0289,0.0154,0.0155,0.2961
10-Feb-22,CASTLE,25.35,25.35,0,0,0,0
10-Feb-22,CASTROLIND,120.1,121.6,-0.0124,0.0174,0.0173,0.3305
10-Feb-22,CCCL,4.05,4.5,-0.1054,0.0937,0.0937,1.7901
10-Feb-22,CCHHL,8.45,8.45,0,0.0346,0.0345,0.6591
10-Feb-22,CCL,477.2,485.2,-0.0166,0.0252,0.0252,0.4814
10-Feb-22,CDSL,1522.8,1510.85,0.0079,0.0268,0.0267,0.5101
10-Feb-22,CEATLTD,1064.25,1080.15,-0.0148,0.0201,0.0201,0.384
10-Feb-22,CEBBCO,47.95,48.25,-0.0062,0.0362,0.0362,0.6916
10-Feb-22,CELEBRITY,17.95,17.45,0.0283,0.0381,0.038,0.726
10-Feb-22,CENTENKA,582.3,588.3,-0.0103,0.0266,0.0265,0.5063
10-Feb-22,CENTEXT,12,12.15,-0.0124,0.0483,0.0482,0.9209
10-Feb-22,CENTRAL,73.2,73.2,0,0,0,0
10-Feb-22,CENTRALBK,21.15,21.2,-0.0024,0.0332,0.0331,0.6324
10-Feb-22,CENTRUM,31.6,31.6,0,0.0351,0.0351,0.6706
10-Feb-22,CENTUM,548.95,549.15,-0.0004,0.0339,0.0339,0.6477
10-Feb-22,CENTURYPLY,636.3,639.25,-0.0046,0.0262,0.0262,0.5006
10-Feb-22,CENTURYTEX,867.45,858.15,0.0108,0.0301,0.03,0.5731
10-Feb-22,CERA,4488.65,4506.8,-0.004,0.0227,0.0227,0.4337
10-Feb-22,CEREBRAINT,83.35,82.95,0.0048,0.0311,0.0311,0.5942
10-Feb-22,CESC,83.7,84.25,-0.0065,0.0215,0.0214,0.4088
